Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Release Code,Release,Unit,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
"19,""'068"",""Bolivia (Plurinational State of)"",""70121"",""Cost of oils and fats, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.42"",,,"
"19,""'068"",""Bolivia (Plurinational State of)"",""70120"",""Cost of oils and fats, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.17"",,,"
"19,""'068"",""Bolivia (Plurinational State of)"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""%"",""14.7"",""13.3"",""9.9"",""11.1"",""9.1"",""8.9"",""9"",""9.3"""
"19,""'068"",""Bolivia (Plurinational State of)"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""12U2024"",""December 2024 (Update)"",""%"",""14.3"",""13"",""9.6"",""10.8"",""8.9"",""8.5"",,"
"19,""'068"",""Bolivia (Plurinational State of)"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""million No"",""1.7"",""1.5"",""1.2"",""1.3"",""1.1"",""1.1"",""1.1"",""1.1"""
"19,""'068"",""Bolivia (Plurinational State of)"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""12U2024"",""December 2024 (Update)"",""million No"",""1.6"",""1.5"",""1.1"",""1.3"",""1.1"",""1"",,"
"80,""'070"",""Bosnia and Herzegovina"",""70041"",""Cost of a healthy diet (CoHD), LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",""3.25"",""3.27"",""3.31"",""3.34"",""3.46"",""4.2"",""4.65"",""4.75"""
"80,""'070"",""Bosnia and Herzegovina"",""70040"",""Cost of a healthy diet (CoHD), PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",""4.07"",""4.13"",""4.34"",""4.34"",""4.54"",""5.48"",""5.95"",""6.15"""
"80,""'070"",""Bosnia and Herzegovina"",""70071"",""Cost of starchy staples, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.49"",,,"
"80,""'070"",""Bosnia and Herzegovina"",""70070"",""Cost of starchy staples, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.64"",,,"
"80,""'070"",""Bosnia and Herzegovina"",""70081"",""Cost of animal source foods, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.77"",,,"
"80,""'070"",""Bosnia and Herzegovina"",""70080"",""Cost of animal source foods, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""1.01"",,,"
"80,""'070"",""Bosnia and Herzegovina"",""70091"",""Cost of legumes, nuts and seeds, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.47"",,,"
"80,""'070"",""Bosnia and Herzegovina"",""70090"",""Cost of legumes, nuts and seeds, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.61"",,,"
"80,""'070"",""Bosnia and Herzegovina"",""70101"",""Cost of vegetables, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.9"",,,"
"80,""'070"",""Bosnia and Herzegovina"",""70100"",""Cost of vegetables, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""1.17"",,,"
"80,""'070"",""Bosnia and Herzegovina"",""70111"",""Cost of fruits, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.56"",,,"
"80,""'070"",""Bosnia and Herzegovina"",""70110"",""Cost of fruits, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.73"",,,"
"80,""'070"",""Bosnia and Herzegovina"",""70121"",""Cost of oils and fats, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.28"",,,"
"80,""'070"",""Bosnia and Herzegovina"",""70120"",""Cost of oils and fats, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.37"",,,"
"80,""'070"",""Bosnia and Herzegovina"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""%"",""6.1"",""5.7"",""5.4"",""5.8"",""5.3"",""5.5"",""5.6"",""5.3"""
"80,""'070"",""Bosnia and Herzegovina"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""12U2024"",""December 2024 (Update)"",""%"",""6.1"",""5.7"",""5.6"",""5.7"",""5"",""5.8"",,"
"80,""'070"",""Bosnia and Herzegovina"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""million No"",""0.2"",""0.2"",""0.2"",""0.2"",""0.2"",""0.2"",""0.2"",""0.2"""
"80,""'070"",""Bosnia and Herzegovina"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""12U2024"",""December 2024 (Update)"",""million No"",""0.2"",""0.2"",""0.2"",""0.2"",""0.2"",""0.2"",,"
"20,""'072"",""Botswana"",""70041"",""Cost of a healthy diet (CoHD), LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",""15.5"",""15.42"",""15.64"",""16.22"",""17.37"",""19.08"",""21.34"",""22.37"""
"20,""'072"",""Botswana"",""70040"",""Cost of a healthy diet (CoHD), PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",""3.01"",""3"",""3.04"",""3.21"",""3.41"",""3.62"",""4.01"",""4.21"""
"20,""'072"",""Botswana"",""70071"",""Cost of starchy staples, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""2.87"",,,"
"20,""'072"",""Botswana"",""70070"",""Cost of starchy staples, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.56"",,,"
"20,""'072"",""Botswana"",""70081"",""Cost of animal source foods, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""6.1"",,,"
"20,""'072"",""Botswana"",""70080"",""Cost of animal source foods, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""1.2"",,,"
"20,""'072"",""Botswana"",""70091"",""Cost of legumes, nuts and seeds, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""2.42"",,,"
"20,""'072"",""Botswana"",""70090"",""Cost of legumes, nuts and seeds, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.47"",,,"
"20,""'072"",""Botswana"",""70101"",""Cost of vegetables, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""2.97"",,,"
"20,""'072"",""Botswana"",""70100"",""Cost of vegetables, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.58"",,,"
"20,""'072"",""Botswana"",""70111"",""Cost of fruits, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""2.19"",,,"
"20,""'072"",""Botswana"",""70110"",""Cost of fruits, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.43"",,,"
"20,""'072"",""Botswana"",""70121"",""Cost of oils and fats, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.83"",,,"
"20,""'072"",""Botswana"",""70120"",""Cost of oils and fats, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.16"",,,"
"20,""'072"",""Botswana"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""%"",""62.8"",""61.3"",""60.7"",""61"",""60.7"",""59.6"",""60.1"",""59.9"""
"20,""'072"",""Botswana"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""12U2024"",""December 2024 (Update)"",""%"",""63.5"",""61.9"",""61.3"",""61.5"",""61.2"",""60.3"",,"
"20,""'072"",""Botswana"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""million No"",""1.4"",""1.4"",""1.4"",""1.4"",""1.5"",""1.5"",""1.5"",""1.5"""
"20,""'072"",""Botswana"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""12U2024"",""December 2024 (Update)"",""million No"",""1.4"",""1.4"",""1.4"",""1.5"",""1.5"",""1.5"",,"
"21,""'076"",""Brazil"",""70041"",""Cost of a healthy diet (CoHD), LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",""7.5"",""7.56"",""7.93"",""8.64"",""9.72"",""10.88"",""11.33"",""11.85"""
"21,""'076"",""Brazil"",""70040"",""Cost of a healthy diet (CoHD), PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",""3.15"",""3.23"",""3.39"",""3.69"",""3.97"",""4.39"",""4.55"",""4.69"""
"21,""'076"",""Brazil"",""70071"",""Cost of starchy staples, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""1.57"",,,"
"21,""'076"",""Brazil"",""70070"",""Cost of starchy staples, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.64"",,,"
"21,""'076"",""Brazil"",""70081"",""Cost of animal source foods, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""2.09"",,,"
"21,""'076"",""Brazil"",""70080"",""Cost of animal source foods, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.85"",,,"
"21,""'076"",""Brazil"",""70091"",""Cost of legumes, nuts and seeds, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""2.38"",,,"
"21,""'076"",""Brazil"",""70090"",""Cost of legumes, nuts and seeds, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.97"",,,"
"21,""'076"",""Brazil"",""70101"",""Cost of vegetables, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""1.69"",,,"
"21,""'076"",""Brazil"",""70100"",""Cost of vegetables, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.69"",,,"
"21,""'076"",""Brazil"",""70111"",""Cost of fruits, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""1.65"",,,"
"21,""'076"",""Brazil"",""70110"",""Cost of fruits, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.67"",,,"
"21,""'076"",""Brazil"",""70121"",""Cost of oils and fats, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.33"",,,"
"21,""'076"",""Brazil"",""70120"",""Cost of oils and fats, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.14"",,,"
"21,""'076"",""Brazil"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""%"",""27.1"",""26.4"",""26"",""19.4"",""29.8"",""24.9"",""24.1"",""23.7"""
"21,""'076"",""Brazil"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""12U2024"",""December 2024 (Update)"",""%"",""27.4"",""26.6"",""26.3"",""19.8"",""30.2"",""25.3"",,"
"21,""'076"",""Brazil"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""million No"",""55.5"",""54.3"",""53.9"",""40.4"",""62.4"",""52.4"",""50.8"",""50.2"""
"21,""'076"",""Brazil"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""12U2024"",""December 2024 (Update)"",""million No"",""56.2"",""54.9"",""54.6"",""41.2"",""63.3"",""53.1"",,"
"239,""'092"",""British Virgin Islands"",""70041"",""Cost of a healthy diet (CoHD), LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",""3.87"",""3.89"",""3.93"",""3.98"",""4.02"",""4.06"",""4.1"",""4.15"""
"239,""'092"",""British Virgin Islands"",""70040"",""Cost of a healthy diet (CoHD), PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",""3.5"",""3.53"",""3.64"",""3.78"",""3.94"",""4.78"",""5.05"",""5.23"""
"239,""'092"",""British Virgin Islands"",""70071"",""Cost of starchy staples, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.82"",,,"
"239,""'092"",""British Virgin Islands"",""70070"",""Cost of starchy staples, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.8"",,,"
"239,""'092"",""British Virgin Islands"",""70081"",""Cost of animal source foods, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.76"",,,"
"239,""'092"",""British Virgin Islands"",""70080"",""Cost of animal source foods, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.74"",,,"
"239,""'092"",""British Virgin Islands"",""70091"",""Cost of legumes, nuts and seeds, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.35"",,,"
"239,""'092"",""British Virgin Islands"",""70090"",""Cost of legumes, nuts and seeds, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.34"",,,"
"239,""'092"",""British Virgin Islands"",""70101"",""Cost of vegetables, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.99"",,,"
"239,""'092"",""British Virgin Islands"",""70100"",""Cost of vegetables, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.97"",,,"
"239,""'092"",""British Virgin Islands"",""70111"",""Cost of fruits, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.94"",,,"
"239,""'092"",""British Virgin Islands"",""70110"",""Cost of fruits, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.92"",,,"
"239,""'092"",""British Virgin Islands"",""70121"",""Cost of oils and fats, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.16"",,,"
"239,""'092"",""British Virgin Islands"",""70120"",""Cost of oils and fats, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.16"",,,"
"239,""'092"",""British Virgin Islands"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""%"",,,,,,,,"
"239,""'092"",""British Virgin Islands"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""million No"",,,,,,,,"
"26,""'096"",""Brunei Darussalam"",""70041"",""Cost of a healthy diet (CoHD), LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",""2.77"",""2.82"",""2.81"",""2.88"",""2.94"",""3.1"",""3.18"",""3.2"""
"26,""'096"",""Brunei Darussalam"",""70040"",""Cost of a healthy diet (CoHD), PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",""4.11"",""4.26"",""4.36"",""4.55"",""4.85"",""5.32"",""5.67"",""5.89"""
"26,""'096"",""Brunei Darussalam"",""70071"",""Cost of starchy staples, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.42"",,,"
"26,""'096"",""Brunei Darussalam"",""70070"",""Cost of starchy staples, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.69"",,,"
"26,""'096"",""Brunei Darussalam"",""70081"",""Cost of animal source foods, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.79"",,,"
"26,""'096"",""Brunei Darussalam"",""70080"",""Cost of animal source foods, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""1.31"",,,"
"26,""'096"",""Brunei Darussalam"",""70091"",""Cost of legumes, nuts and seeds, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.3"",,,"
"26,""'096"",""Brunei Darussalam"",""70090"",""Cost of legumes, nuts and seeds, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.5"",,,"
"26,""'096"",""Brunei Darussalam"",""70101"",""Cost of vegetables, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.79"",,,"
"26,""'096"",""Brunei Darussalam"",""70100"",""Cost of vegetables, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""1.3"",,,"
"26,""'096"",""Brunei Darussalam"",""70111"",""Cost of fruits, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.57"",,,"
"26,""'096"",""Brunei Darussalam"",""70110"",""Cost of fruits, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.93"",,,"
"26,""'096"",""Brunei Darussalam"",""70121"",""Cost of oils and fats, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.08"",,,"
"26,""'096"",""Brunei Darussalam"",""70120"",""Cost of oils and fats, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.13"",,,"
"26,""'096"",""Brunei Darussalam"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""%"",,,,,,,,"
"26,""'096"",""Brunei Darussalam"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""12U2024"",""December 2024 (Update)"",""%"",,,,,,,,"
"26,""'096"",""Brunei Darussalam"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""million No"",,,,,,,,"
"26,""'096"",""Brunei Darussalam"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""12U2024"",""December 2024 (Update)"",""million No"",,,,,,,,"
"27,""'100"",""Bulgaria"",""70041"",""Cost of a healthy diet (CoHD), LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",""2.54"",""2.6"",""2.73"",""2.88"",""2.96"",""3.61"",""4.11"",""4.21"""
"27,""'100"",""Bulgaria"",""70040"",""Cost of a healthy diet (CoHD), PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",""3.39"",""3.47"",""3.67"",""3.8"",""3.93"",""4.72"",""5.16"",""5.32"""
"27,""'100"",""Bulgaria"",""70071"",""Cost of starchy staples, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.51"",,,"
"27,""'100"",""Bulgaria"",""70070"",""Cost of starchy staples, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.67"",,,"
"27,""'100"",""Bulgaria"",""70081"",""Cost of animal source foods, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.74"",,,"
"27,""'100"",""Bulgaria"",""70080"",""Cost of animal source foods, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.98"",,,"
"27,""'100"",""Bulgaria"",""70091"",""Cost of legumes, nuts and seeds, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.32"",,,"
"27,""'100"",""Bulgaria"",""70090"",""Cost of legumes, nuts and seeds, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.42"",,,"
"27,""'100"",""Bulgaria"",""70101"",""Cost of vegetables, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.64"",,,"
"27,""'100"",""Bulgaria"",""70100"",""Cost of vegetables, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.85"",,,"
"27,""'100"",""Bulgaria"",""70111"",""Cost of fruits, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.65"",,,"
"27,""'100"",""Bulgaria"",""70110"",""Cost of fruits, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.87"",,,"
"27,""'100"",""Bulgaria"",""70121"",""Cost of oils and fats, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.11"",,,"
"27,""'100"",""Bulgaria"",""70120"",""Cost of oils and fats, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.14"",,,"
"27,""'100"",""Bulgaria"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""%"",""10.3"",""8.3"",""7.8"",""5.2"",""6.1"",""5.7"",""5.7"",""5.5"""
"27,""'100"",""Bulgaria"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""12U2024"",""December 2024 (Update)"",""%"",""10.2"",""8.4"",""7.8"",""5.3"",""6.1"",""5.8"",,"
"27,""'100"",""Bulgaria"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""million No"",""0.7"",""0.6"",""0.5"",""0.4"",""0.4"",""0.4"",""0.4"",""0.4"""
"27,""'100"",""Bulgaria"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""12U2024"",""December 2024 (Update)"",""million No"",""0.7"",""0.6"",""0.5"",""0.4"",""0.4"",""0.4"",,"
"233,""'854"",""Burkina Faso"",""70041"",""Cost of a healthy diet (CoHD), LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",""534.57"",""552.49"",""517.29"",""536.25"",""572.49"",""708.83"",""700.49"",""743.72"""
"233,""'854"",""Burkina Faso"",""70040"",""Cost of a healthy diet (CoHD), PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",""2.77"",""2.82"",""2.72"",""2.8"",""2.97"",""3.48"",""3.55"",""3.73"""
"233,""'854"",""Burkina Faso"",""70071"",""Cost of starchy staples, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""102.94"",,,"
"233,""'854"",""Burkina Faso"",""70070"",""Cost of starchy staples, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.53"",,,"
"233,""'854"",""Burkina Faso"",""70081"",""Cost of animal source foods, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""177.59"",,,"
"233,""'854"",""Burkina Faso"",""70080"",""Cost of animal source foods, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.92"",,,"
"233,""'854"",""Burkina Faso"",""70091"",""Cost of legumes, nuts and seeds, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""64.26"",,,"
"233,""'854"",""Burkina Faso"",""70090"",""Cost of legumes, nuts and seeds, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.33"",,,"
"233,""'854"",""Burkina Faso"",""70101"",""Cost of vegetables, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""109.46"",,,"
"233,""'854"",""Burkina Faso"",""70100"",""Cost of vegetables, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.57"",,,"
"233,""'854"",""Burkina Faso"",""70111"",""Cost of fruits, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""74.6"",,,"
"233,""'854"",""Burkina Faso"",""70110"",""Cost of fruits, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.39"",,,"
